Primary Key,Order No_x,Segment Number_x,Order Date,Manufacturer,Model,Product Category,Model Year,Serial Number,Meter 1 Reading,Complaint,Cause,Correction,Failure Condition - Failure Component,Fix Condition - Fix Component,Order No_y,Segment Number_y,Coverage,Qty,Part Manufacturer,Part Number,Part Description,Revenue,Cost,Invoice Date,Actual Hours,Segment Total $
SO0005588-1,SO0005588,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. It was found that the device had extremely little frost protection, I added 6 gallons to reach the right stand. Check the engine oil to determine whether frost protection occurs. Found t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,SO0005588,1.0,mike 102-305-1811,37.0,PASE,042094R9-Q     PASE,NO.1-15W40 CJ4QT,127.2799,96.1999,2022-05-17,6.3798,1048.3596$
SO0005907-1,SO0005907,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. It was found that the device had extremely little frost protection, I added 6 gallons to reach the right stand. Check the engine oil to determine whether frost protection occurs. Found t","No Heat - Cab, Not Achieving - Gauge",No Component Mentioned - Added,SO0005907,1.0,mike 102-305-1811,1.0,PASE,25505353     PASE,FLUID,30.0,22.68,2022-05-17,6.3798,1048.3596$
SO0006100-1,SO0006100,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. It was found that the device had extremely little frost protection, I added 6 gallons to reach the right stand. Check the engine oil to determine whether frost protection occurs. Found t",Not Charging - Alternator,No Component Mentioned - No Component Mentioned,SO0006100,1.0,mike 102-305-1811,3.0,PASE,25500540     PASE,ACTIFUL OT PREMIX,126.0,78.3,2022-05-17,6.3798,1048.3596$
SO0006642-1,SO0006642,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. It was found that the device had extremely little frost protection, I added 6 gallons to reach the right stand. Check the engine oil to determine whether frost protection occurs. Found t",Faulty - Fan,"Tensioner - Removed, Crankshaft Pulley - Cleaned",SO0006642,1.0,mike 102-305-1811,1.0,PASE,30171372     PASE,FILTER  ENGINE OIL,157.5,99.79,2022-05-17,6.3798,1048.3596$
SO0018457-1,SO0018457,1,2022-04-30,PASEIH,6780,APPL,0,YFT042399,2531.0999,"No cab heat, temp gauge dont get to operating temp.",Unknown,"When I drove the device into the workshop, the temperature display rose well over 200 degrees. It was found that the device had extremely little frost protection, I added 6 gallons to reach the right stand. Check the engine oil to determine whether frost protection occurs. Found t",Oil Loss - Not Mentioned,No Component Mentioned - No Component Mentioned,SO0018457,1.0,mike 102-305-1811,1.0,PASE,MCC54101     PASE,LOCTITE,7.5499,5.5099,2022-05-17,6.3798,1048.3596$
SO0018457-2,SO0018457,2,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,Unknown,"Connections to the alternator cleaned. Check whether the chassis is well grounded. Tension checked on the path cable. If you dealt with the standard cabling with one set of bridging cables and the alternator manually excited, it still did not let yourself be loaded","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",SO0018457,2.0,Mark 102-970-7135,-1.0,PASE,30020510C     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,2022-05-12,3.68,1034.17$
SO0018457-2,SO0018457,2,2022-05-09,PASEIH,6780,APPL,0,YFT042399,2579.1999,Alternator not charging.,Unknown,"Connections to the alternator cleaned. Check whether the chassis is well grounded. Tension checked on the path cable. If you dealt with the standard cabling with one set of bridging cables and the alternator manually excited, it still did not let yourself be loaded","Unavailable - Suspension, Unavailable - Axle","Fuse - Replaced, VT - Cleared Fault, VT - Reinitiated",SO0018457,2.0,Mark 102-970-7135,-1.0,PASE,30989845     PASE,REMAN-ALTERNATOR - CORE,-40.0,-40.0,2022-05-12,3.68,1034.17$
SO0018596-10,SO0018596,10,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Not Mentioned - No Component Mentioned,"Bolt - Replaced, Thread - Cleaned, No Component Mentioned - Installed, No Component Mentioned - Retightened",SO0018596,10.0,Not Available,6.0,PASE,30527348     PASE,ACTIFUL OT PREMIX,264.0,168.8199,2022-07-22,60.06960000000001,47856.9793$
SO0018596-11,SO0018596,11,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed","Missed - No Component Mentioned, Missed - No Component Mentioned",No Component Mentioned - Installed,SO0018596,11.0,Not Available,1.0,PASE,32977377     PASE,BELT,79.75,47.56,2022-07-22,60.06960000000001,47856.9793$
SO0018596-12,SO0018596,12,2022-05-25,PASEIH,6780,APPL,0,YFT042399,2641.9,Still losing oil. would like this address now. Engine codes- Reference Service Order -5588,Unknown,"I started taking off the hood, separating the brackets of the air filter housing and all accessories attached to it. The housing removed and motor oil, coolant and hydraulic fluid drained. Received refrigerant. All connected lines and hoses removed",Leak - Coupler,"Coupler - Replaced, Machine - Tested",SO0018596,12.0,Not Available,1.0,PASE,30020510R     PASE,FILTER  ELEMENT,192.0,120.2,2022-07-22,60.06960000000001,47856.9793$
